-1.243410430173952363e-09	1.990522049040895350e-09	5.896746743672132141e-09
-1.414836243995853990e-09	1.896389959880432832e-09	5.641919880357744630e-09
-1.571310205098855950e-09	1.811225023666077611e-09	5.405445656821622896e-09
-1.714477703557149344e-09	1.734145473516098839e-09	5.185712583418342689e-09
-1.845770203808457815e-09	1.664368964870988521e-09	4.981276423750755531e-09
-1.966436728959944246e-09	1.601199522971440532e-09	4.790840708405553153e-09
-2.077570075004198681e-09	1.544016914323265569e-09	4.613239384017772793e-09
-2.180128970408202218e-09	1.492267574324894382e-09	4.447421508846362052e-09
-2.274956680675677796e-09	1.445456197327980717e-09	4.292438728533318657e-09
-2.362796674403496820e-09	1.403139045693299116e-09	4.147433137665266121e-09
-2.444306219350397616e-09	1.364917773249985461e-09	4.011627962226724034e-09
-2.520067465238322049e-09	1.330434329371852671e-09	3.884318372504575158e-09
-2.590597431943269001e-09	1.299366064744234285e-09	3.764863822549221985e-09
-2.656356242724164165e-09	1.271422026919803653e-09	3.652681520212771940e-09
-2.717754115158511253e-09	1.246339283630012384e-09	3.547240192321629279e-09
-2.775157668249983941e-09	1.223880026953357780e-09	3.448054887907522943e-09
-2.828895223107309170e-09	1.203828736695556080e-09	3.354682421667181146e-09
-2.879261278530831855e-09	1.185989699041082876e-09	3.266717040391795042e-09
-2.926520600825498259e-09	1.170185157106651482e-09	3.183786788836981364e-09
-2.970911588962011458e-09	1.156253431888743256e-09	3.105550506569503215e-09
-3.012649231181701141e-09	1.144047048762253755e-09	3.031694480644850156e-09
-3.051927936699381181e-09	1.133431481078103018e-09	2.961930235338232746e-09
-3.088923689516695964e-09	1.124283972401641022e-09	2.895991918494535749e-09
-3.123796084419002958e-09	1.116492127454608623e-09	2.833634452081846550e-09
-3.156689849879296707e-09	1.109952999881850901e-09	2.774631366331271243e-09
-3.187736788423657174e-09	1.104572268835942661e-09	2.718773599308388935e-09
-3.217057066226548074e-09	1.100263333220219739e-09	2.665867423571703952e-09
-3.244760115745279048e-09	1.096946621500135529e-09	2.615733535327181110e-09
-3.270946156870106985e-09	1.094548951474650018e-09	2.568205760093238453e-09
-3.295706735180019750e-09	1.093002939082469878e-09	2.523129584430794960e-09
-3.319125930929338823e-09	1.092246517305399219e-09	2.480361747936302704e-09
-3.341280629953769681e-09	1.092222350525718053e-09	2.439768728712552180e-09
-3.362241719646412934e-09	1.092877421893231277e-09	2.401226538902467691e-09
-3.382074384901875780e-09	1.094162943582336985e-09	2.364619372992786951e-09
-3.400838616621205083e-09	1.096033553730591266e-09	2.329839495403729709e-09
-3.418589737680400646e-09	1.098447322915126878e-09	2.296786078918411923e-09
-3.435378974926210800e-09	1.101365414609327187e-09	2.265365265282271150e-09
-3.451253536660808042e-09	1.104751742864177838e-09	2.235488949509098268e-09
-3.466257411655060837e-09	1.108572804849509804e-09	2.207075064375445583e-09
-3.480430945298127180e-09	1.112797522647335549e-09	2.180046374903699443e-09
